Jenis Kelamin,Umur,Wilayah,Tanggapan,Tanggapan_Final,text_clean,topic_number,topic_id,topic_label,topic_probability
Laki laki,8 sampai 11 tahun,Agam,makanan lebih tidak bergizi dan cuma makanan ringan,makan lebih gizi cuma makan ringan,makan gizi cuma makan ringan,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8793
Laki laki,8 sampai 11 tahun,Agam,kami cuma makan roti,cuma makan roti,cuma makan roti,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,8 sampai 11 tahun,Agam,sakit karena bawa barang berat,sakit bawa barang berat,sakit bawa barang berat,8,7,Keluhan Fisik & Kesehatan,0.4375
Laki laki,8 sampai 11 tahun,Agam,sakit karna menolong orang mengambil bantuan,sakit karna tolong orang ambil bantu,sakit tolong orang ambil bantu,3,2,Kerusakan Rumah & Bantuan,0.4518
Laki laki,8 sampai 11 tahun,Agam,takut karena banjir datang,takut banjir datang,takut banjir datang,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,8 sampai 11 tahun,Agam,rindu sama nenek,rindu sama nenek,rindu nenek,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,8 sampai 11 tahun,Agam,rindu dengan teman,rindu teman,rindu teman,1,0,Kehilangan & Trauma Keluarga,0.6111
Laki laki,8 sampai 11 tahun,Agam,sedih karena teman hanyut terbawa galodo,sedih teman hanyut bawa galodo,sedih teman hanyut bawa galodo,2,1,Ketakutan & Dampak Banjir,0.6029
Laki laki,8 sampai 11 tahun,Agam,sakit perut karena tidak ada makan,sakit perut tidak makan,sakit perut makan,8,7,Keluhan Fisik & Kesehatan,0.7066
Laki laki,8 sampai 11 tahun,Agam,jarang makan lalu sakit,jarang makan lalu sakit,jarang makan sakit,7,6,Kebutuhan Makan & Aktivitas Fisik,0.3959
Laki laki,8 sampai 11 tahun,Agam,trauma healing,trauma healing,trauma healing,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Laki laki,8 sampai 11 tahun,Agam,mengambil bantuan,ambil bantu,ambil bantu,3,2,Kerusakan Rumah & Bantuan,0.8158
Laki laki,8 sampai 11 tahun,Agam,bermain bola,main bola,main bola,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,8 sampai 11 tahun,Agam,membantu orang tua,bantu orang tua,bantu orang tua,2,1,Ketakutan & Dampak Banjir,0.6893
Laki laki,8 sampai 11 tahun,Agam,membereskan barang,beres barang,beres barang,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Laki laki,8 sampai 11 tahun,Agam,ya kemauan sendiri,mau sendiri,sendiri,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Laki laki,8 sampai 11 tahun,Agam,ya disuruh,suruh,suruh,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Laki laki,8 sampai 11 tahun,Agam,melihat sungai merasa takut,lihat sungai rasa takut,lihat sungai rasa takut,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,8 sampai 11 tahun,Agam,penasaran melihat sungai,penasaran lihat sungai,penasaran lihat sungai,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,8 sampai 11 tahun,Agam,pergi ke sungai,pergi sungai,pergi sungai,7,6,Kebutuhan Makan & Aktivitas Fisik,0.3929
Laki laki,8 sampai 11 tahun,Agam,penasaran,penasaran,penasaran,1,0,Kehilangan & Trauma Keluarga,0.125
Laki laki,12 sampai 15 tahun,Agam,teman kita meninggal karena banjir tidak bisa sekolah lagi,teman tinggal banjir bisa sekolah,teman tinggal banjir sekolah,6,5,Bencana & Kehilangan Tempat Tinggal,0.3621
Laki laki,12 sampai 15 tahun,Agam,sehat,sehat,sehat,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Laki laki,12 sampai 15 tahun,Agam,kaki aku ditusuk paku karna mencari tabungan aku,kaki aku tusuk paku karna cari tabung aku,kaki tusuk paku cari tabung,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,12 sampai 15 tahun,Agam,saya trauma banjir bandang,trauma banjir bandang,trauma banjir bandang,2,1,Ketakutan & Dampak Banjir,0.8542
Laki laki,12 sampai 15 tahun,Agam,banyak dapat teman,banyak teman,teman,1,0,Kehilangan & Trauma Keluarga,0.6111
Laki laki,12 sampai 15 tahun,Agam,anak tetangga takut bermain pas soresore,anak tetangga takut main pas soresore,anak tetangga takut main soresore,3,2,Kerusakan Rumah & Bantuan,0.2292
Laki laki,12 sampai 15 tahun,Agam,air bersih susah didapatkan,air bersih susah dapat,air bersih susah dapat,4,3,Kebersihan & Aktivitas Pemulihan,0.7069
Laki laki,12 sampai 15 tahun,Agam,tidak ada sinyal,ada sinyal,sinyal,1,0,Kehilangan & Trauma Keluarga,0.125
Laki laki,12 sampai 15 tahun,Agam,tetangga saya arah karna tidak dapat bantuan,tetangga arah karna dapat bantu,tetangga arah dapat bantu,3,2,Kerusakan Rumah & Bantuan,0.4375
Laki laki,12 sampai 15 tahun,Agam,tempat main kami tidak ada,tempat main tidak,tempat main,6,5,Bencana & Kehilangan Tempat Tinggal,0.3929
Laki laki,12 sampai 15 tahun,Agam,orang tua makin cemas,orang tua makin cemas,orang tua makin cemas,2,1,Ketakutan & Dampak Banjir,0.7069
Laki laki,12 sampai 15 tahun,Agam,suasana hening karena teman teman banyak pindah,suasana hening teman teman banyak pindah,suasana hening teman teman pindah,1,0,Kehilangan & Trauma Keluarga,0.8158
Laki laki,12 sampai 15 tahun,Agam,beberapa tempat rata dengan lumpur,beberapa tempat rata lumpur,beberapa tempat rata lumpur,1,0,Kehilangan & Trauma Keluarga,0.2986
Laki laki,12 sampai 15 tahun,Agam,temanteman meniggal,temanteman meniggal,temanteman meniggal,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Laki laki,12 sampai 15 tahun,Agam,jangan pisahpisah,jangan pisahpisah,jangan pisahpisah,8,7,Keluhan Fisik & Kesehatan,0.6111
Laki laki,12 sampai 15 tahun,Agam,lari dulu nak tinggalkan saja barang,lari dulu nak tinggal barang,lari dulu tinggal barang,4,3,Kebersihan & Aktivitas Pemulihan,0.4375
Laki laki,12 sampai 15 tahun,Agam,jangan pergi jauhjauh,jangan pergi jauhjauh,jangan pergi jauhjauh,8,7,Keluhan Fisik & Kesehatan,0.5526
Laki laki,12 sampai 15 tahun,Agam,galodo susulan jam,galodo susul jam,galodo susul jam,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Laki laki,12 sampai 15 tahun,Agam,siapa yang menyangka terjadi bencana,siapa sangka jadi bencana,siapa sangka bencana,1,0,Kehilangan & Trauma Keluarga,0.5312
Laki laki,12 sampai 15 tahun,Agam,berani minta duit ke orang tua,berani minta duit orang tua,berani minta duit orang tua,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,12 sampai 15 tahun,Agam,mie goreng,mie goreng,mie goreng,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Laki laki,12 sampai 15 tahun,Agam,nasi gratis,nasi gratis,nasi gratis,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Laki laki,12 sampai 15 tahun,Agam,bantuan,bantu,bantu,3,2,Kerusakan Rumah & Bantuan,0.6111
Laki laki,12 sampai 15 tahun,Agam,makan nasi dan mie,makan nasi mie,makan nasi mie,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8542
Laki laki,12 sampai 15 tahun,Agam,bantuan makanan,bantu makan,bantu makan,3,2,Kerusakan Rumah & Bantuan,0.5526
Laki laki,12 sampai 15 tahun,Agam,membersihkan lumpur,bersih lumpur,bersih lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,12 sampai 15 tahun,Agam,mengangkat tas,angkat tas,angkat tas,7,6,Kebutuhan Makan & Aktivitas Fisik,0.75
Laki laki,12 sampai 15 tahun,Agam,sedih,sedih,sedih,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,12 sampai 15 tahun,Agam,teman hilang,teman hilang,teman hilang,1,0,Kehilangan & Trauma Keluarga,0.75
Laki laki,12 sampai 15 tahun,Agam,sedih takut dan trauma,sedih takut trauma,sedih takut trauma,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,12 sampai 15 tahun,Agam,takut datang lagi,takut datang,takut datang,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,12 sampai 15 tahun,Agam,karena banjir,banjir,banjir,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,12 sampai 15 tahun,Agam,kelaparan,lapar,lapar,1,0,Kehilangan & Trauma Keluarga,0.6111
Laki laki,12 sampai 15 tahun,Agam,sakit perut,sakit perut,sakit perut,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,12 sampai 15 tahun,Agam,sakit asam lambung,sakit asam lambung,sakit asam lambung,8,7,Keluhan Fisik & Kesehatan,0.75
Laki laki,12 sampai 15 tahun,Agam,makan,makan,makan,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Laki laki,12 sampai 15 tahun,Agam,menulis,tulis,tulis,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Laki laki,12 sampai 15 tahun,Agam,lempar bola,lempar bola,lempar bola,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Laki laki,12 sampai 15 tahun,Agam,nyapu,nyapu,nyapu,1,0,Kehilangan & Trauma Keluarga,0.125
Laki laki,12 sampai 15 tahun,Agam,cuci piring,cuci piring,cuci piring,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,12 sampai 15 tahun,Agam,klereng,klereng,klereng,1,0,Kehilangan & Trauma Keluarga,0.125
Laki laki,12 sampai 15 tahun,Agam,belanja,belanja,belanja,7,6,Kebutuhan Makan & Aktivitas Fisik,0.6111
Laki laki,12 sampai 15 tahun,Agam,membawa motor,bawa motor,bawa motor,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Laki laki,12 sampai 15 tahun,Agam,ya kesadaran sendiri,sadar sendiri,sadar sendiri,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Laki laki,12 sampai 15 tahun,Agam,ke masjid,masjid,masjid,1,0,Kehilangan & Trauma Keluarga,0.125
Laki laki,12 sampai 15 tahun,Agam,ambil bantuan ke sekolah,ambil bantu sekolah,ambil bantu sekolah,3,2,Kerusakan Rumah & Bantuan,0.6458
Laki laki,12 sampai 15 tahun,Agam,melihat bagibagi bantuan,lihat bagibagi bantu,lihat bagibagi bantu,2,1,Ketakutan & Dampak Banjir,0.3929
Laki laki,12 sampai 15 tahun,Agam,ya karena dapat bantuan,karena bantu,bantu,3,2,Kerusakan Rumah & Bantuan,0.6111
Perempuan,8 sampai 11 tahun,Pidie Jaya,kehilangan rumah,hilang rumah,hilang rumah,1,0,Kehilangan & Trauma Keluarga,0.5526
Perempuan,8 sampai 11 tahun,Pidie Jaya,kehilangan alat sekolah,hilang alat sekolah,hilang alat sekolah,5,4,Dampak Pendidikan & Tempat Tidur,0.6458
Perempuan,8 sampai 11 tahun,Pidie Jaya,baju seragam sekolah,baju seragam sekolah,baju seragam sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,8 sampai 11 tahun,Pidie Jaya,rumah tertimbun,rumah timbun,rumah timbun,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,8 sampai 11 tahun,Pidie Jaya,tidak ada pohon sudah mati,ada pohon mati,pohon mati,3,2,Kerusakan Rumah & Bantuan,0.75
Perempuan,8 sampai 11 tahun,Pidie Jaya,banjir susulan,banjir susul,banjir susul,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,8 sampai 11 tahun,Pidie Jaya,banyak kerusakan,banyak rusa,rusa,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,8 sampai 11 tahun,Pidie Jaya,rumah rusak,rumah rusak,rumah rusak,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,8 sampai 11 tahun,Pidie Jaya,cerita tentang rumah,cerita rumah,cerita rumah,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,8 sampai 11 tahun,Pidie Jaya,batuan rumah,batu rumah,batu rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.4821
Perempuan,8 sampai 11 tahun,Pidie Jaya,sakit karena kena kayu pas banji,sakit kena kayu pas banji,sakit kena kayu banji,2,1,Ketakutan & Dampak Banjir,0.6458
Perempuan,8 sampai 11 tahun,Pidie Jaya,saya merasa senang,rasa senang,rasa senang,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,8 sampai 11 tahun,Pidie Jaya,sakit perut belum makan,sakit perut makan,sakit perut makan,8,7,Keluhan Fisik & Kesehatan,0.7066
Perempuan,8 sampai 11 tahun,Pidie Jaya,bersih bersih rumah,bersih bersih rumah,bersih bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8542
Perempuan,8 sampai 11 tahun,Pidie Jaya,bersih sekolah,bersih sekolah,bersih sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,8 sampai 11 tahun,Pidie Jaya,berjalan ke pengungsian,jalan ungsi,ungsi,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,ingin rumah bersih kembali,rumah bersih,rumah bersih,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,8 sampai 11 tahun,Pidie Jaya,saya merasa waswas,rasa waswas,rasa waswas,8,7,Keluhan Fisik & Kesehatan,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,sedih liat keadaan,sedih liat ada,sedih liat,5,4,Dampak Pendidikan & Tempat Tidur,0.8158
Laki laki,8 sampai 11 tahun,Pidie Jaya,baju seragam,baju seragam,baju seragam,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,orang membersihkan rumah,orang bersih rumah,orang bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.6283
Laki laki,8 sampai 11 tahun,Pidie Jaya,rumah tertimbun,rumah timbun,rumah timbun,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Laki laki,8 sampai 11 tahun,Pidie Jaya,banjir datang lagi,banjir datang,banjir datang,2,1,Ketakutan & Dampak Banjir,0.8158
Laki laki,8 sampai 11 tahun,Pidie Jaya,bantuan datang,bantu datang,bantu datang,3,2,Kerusakan Rumah & Bantuan,0.75
Laki laki,8 sampai 11 tahun,Pidie Jaya,bantuan alat sekolah,bantu alat sekolah,bantu alat sekolah,5,4,Dampak Pendidikan & Tempat Tidur,0.6458
Laki laki,8 sampai 11 tahun,Pidie Jaya,berani,berani,berani,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,ambil nasi di posko,ambil nasi posko,ambil nasi posko,3,2,Kerusakan Rumah & Bantuan,0.6458
Laki laki,8 sampai 11 tahun,Pidie Jaya,takut waktu banjir,takut waktu banjir,takut banjir,2,1,Ketakutan & Dampak Banjir,0.8158
Laki laki,8 sampai 11 tahun,Pidie Jaya,takut,takut,takut,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,saya merasa sedih,rasa sedih,rasa sedih,2,1,Ketakutan & Dampak Banjir,0.8158
Laki laki,8 sampai 11 tahun,Pidie Jaya,lapar tidak ada makanan setelah banjir,lapar ada makan banjir,lapar makan banjir,7,6,Kebutuhan Makan & Aktivitas Fisik,0.5526
Laki laki,8 sampai 11 tahun,Pidie Jaya,belajar,ajar,ajar,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,bermain,main,main,8,7,Keluhan Fisik & Kesehatan,0.6111
Laki laki,8 sampai 11 tahun,Pidie Jaya,bersih bersih,bersih bersih,bersih bersih,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Laki laki,8 sampai 11 tahun,Pidie Jaya,lelah karena capek,lelah capek,lelah capek,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Laki laki,8 sampai 11 tahun,Pidie Jaya,berjalan ke acara pss,jalan acara pss,acara pss,1,0,Kehilangan & Trauma Keluarga,0.125
Perempuan,12 sampai 15 tahun,Pidie Jaya,merasa takut,rasa takut,rasa takut,2,1,Ketakutan & Dampak Banjir,0.8158
Perempuan,12 sampai 15 tahun,Pidie Jaya,tentang sekolah tertimbun,sekolah timbun,sekolah timbun,5,4,Dampak Pendidikan & Tempat Tidur,0.75
Perempuan,12 sampai 15 tahun,Pidie Jaya,pingin sekolah dulu yang rapi,pingin sekolah dulu rapi,pingin sekolah dulu rapi,5,4,Dampak Pendidikan & Tempat Tidur,0.3929
Perempuan,12 sampai 15 tahun,Pidie Jaya,ingin melihathalaman rumah yang bersih,melihathalaman rumah bersih,melihathalaman rumah bersih,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,12 sampai 15 tahun,Pidie Jaya,membantu ibu,bantu ibu,bantu ibu,6,5,Bencana & Kehilangan Tempat Tinggal,0.3929
Perempuan,12 sampai 15 tahun,Pidie Jaya,membantu membersihkan barang yang rusak,bantu bersih barang rusak,bantu bersih barang rusak,4,3,Kebersihan & Aktivitas Pemulihan,0.75
Perempuan,12 sampai 15 tahun,Pidie Jaya,membantu membersihkan rumah,bantu bersih rumah,bantu bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8793
Perempuan,12 sampai 15 tahun,Pidie Jaya,cerita rumah rusak,cerita rumah rusak,cerita rumah rusak,2,1,Ketakutan & Dampak Banjir,0.8793
Perempuan,12 sampai 15 tahun,Pidie Jaya,tentang rumah,rumah,rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Perempuan,12 sampai 15 tahun,Pidie Jaya,berani,berani,berani,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Pidie Jaya,sangat lelah karena banjir,sangat lelah banjir,lelah banjir,2,1,Ketakutan & Dampak Banjir,0.75
Perempuan,12 sampai 15 tahun,Pidie Jaya,sedih,sedih,sedih,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Pidie Jaya,senang karena selamat,senang selamat,senang selamat,6,5,Bencana & Kehilangan Tempat Tinggal,0.3929
Perempuan,12 sampai 15 tahun,Pidie Jaya,sakit perut,sakit perut,sakit perut,8,7,Keluhan Fisik & Kesehatan,0.8158
Perempuan,12 sampai 15 tahun,Pidie Jaya,membersihkan lumpur,bersih lumpur,bersih lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,12 sampai 15 tahun,Pidie Jaya,membantu membersihkan sekolah,bantu bersih sekolah,bantu bersih sekolah,4,3,Kebersihan & Aktivitas Pemulihan,0.8793
Perempuan,12 sampai 15 tahun,Pidie Jaya,berjalan ke pengungsian,jalan ungsi,ungsi,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,12 sampai 15 tahun,Pidie Jaya,berjalan kesekolah,jalan seko,seko,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Laki laki,12 sampai 15 tahun,Pidie Jaya,ingin membersihkan rumah,bersih rumah,bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,12 sampai 15 tahun,Pidie Jaya,ingin membersihkan tanah tertimbun,bersih tanah timbun,bersih tanah timbun,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,12 sampai 15 tahun,Pidie Jaya,saya mau belajar lagi,mau ajar,ajar,5,4,Dampak Pendidikan & Tempat Tidur,0.6111
Laki laki,12 sampai 15 tahun,Pidie Jaya,saya ingin hidup bersih,ingin hidup bersih,ingin hidup bersih,4,3,Kebersihan & Aktivitas Pemulihan,0.5526
Laki laki,12 sampai 15 tahun,Pidie Jaya,saya tidak tersa tenang jika hujan,tidak tersa tenang hujan,tersa tenang hujan,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,12 sampai 15 tahun,Pidie Jaya,bermain tidak seperti dulu,main seperti dulu,main seperti dulu,8,7,Keluhan Fisik & Kesehatan,0.3928
Laki laki,12 sampai 15 tahun,Pidie Jaya,memikirkan rumah rusak,pikir rumah rusak,pikir rumah rusak,2,1,Ketakutan & Dampak Banjir,0.5159
Laki laki,12 sampai 15 tahun,Pidie Jaya,disuruh bersih rumah,suruh bersih rumah,suruh bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8542
Laki laki,12 sampai 15 tahun,Pidie Jaya,cerita rumah rusak,cerita rumah rusak,cerita rumah rusak,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,12 sampai 15 tahun,Pidie Jaya,rumah tertanam lumpur,rumah tanam lumpur,rumah tanam lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.5067
Laki laki,12 sampai 15 tahun,Pidie Jaya,sangat berani,sangat berani,berani,2,1,Ketakutan & Dampak Banjir,0.6111
Laki laki,12 sampai 15 tahun,Pidie Jaya,saya lelah,lelah,lelah,4,3,Kebersihan & Aktivitas Pemulihan,0.6111
Laki laki,12 sampai 15 tahun,Pidie Jaya,karena rasa sakit,rasa sakit,rasa sakit,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,12 sampai 15 tahun,Pidie Jaya,merasa senang,rasa senang,rasa senang,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,12 sampai 15 tahun,Pidie Jaya,lapar,lapar,lapar,1,0,Kehilangan & Trauma Keluarga,0.6111
Laki laki,12 sampai 15 tahun,Pidie Jaya,bermain di atas lumpur,main atas lumpur,main lumpur,4,3,Kebersihan & Aktivitas Pemulihan,0.3929
Laki laki,12 sampai 15 tahun,Pidie Jaya,kesadaran sendiri,sadar sendiri,sadar sendiri,6,5,Bencana & Kehilangan Tempat Tinggal,0.6111
Laki laki,12 sampai 15 tahun,Pidie Jaya,bantu mengeluarkan barang,bantu keluar barang,bantu keluar barang,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Laki laki,12 sampai 15 tahun,Pidie Jaya,membersihkan rumah,bersih rumah,bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.8158
Perempuan,8 sampai 11 tahun,Aceh Tamiang,kehilangan baju,hilang baju,hilang baju,1,0,Kehilangan & Trauma Keluarga,0.8158
Perempuan,8 sampai 11 tahun,Aceh Tamiang,kehilangan alat sekolah,hilang alat sekolah,hilang alat sekolah,5,4,Dampak Pendidikan & Tempat Tidur,0.6458
Perempuan,8 sampai 11 tahun,Aceh Tamiang,mati lampu,mati lampu,mati lampu,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Aceh Tamiang,ibu menangis karena banyak barang hilang karena banjir,ibu menang banyak barang hilang banjir,ibu menang barang hilang banjir,1,0,Kehilangan & Trauma Keluarga,0.362
Perempuan,8 sampai 11 tahun,Aceh Tamiang,melihat hantu,lihat hantu,lihat hantu,2,1,Ketakutan & Dampak Banjir,0.6111
Perempuan,8 sampai 11 tahun,Aceh Tamiang,jangan sampai banjir terjadi lagi,jangan banjir jadi,jangan banjir,8,7,Keluhan Fisik & Kesehatan,0.3929
Perempuan,8 sampai 11 tahun,Aceh Tamiang,makan mie,makan mie,makan mie,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Aceh Tamiang,makan telur,makan telur,makan telur,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Perempuan,8 sampai 11 tahun,Aceh Tamiang,pegal,pegal,pegal,8,7,Keluhan Fisik & Kesehatan,0.6111
Perempuan,8 sampai 11 tahun,Aceh Tamiang,gelisah air semakin tinggi,gelisah air makin tinggi,gelisah air makin tinggi,2,1,Ketakutan & Dampak Banjir,0.8542
Perempuan,8 sampai 11 tahun,Aceh Tamiang,sedih tidak bisa sekolah karena tidak ada pakaian,sedih bisa sekolah tidak pakai,sedih sekolah pakai,5,4,Dampak Pendidikan & Tempat Tidur,0.521
Perempuan,8 sampai 11 tahun,Aceh Tamiang,tunggu diberikan makanan baru makan,tunggu beri makan baru makan,tunggu beri makan makan,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8541
Perempuan,8 sampai 11 tahun,Aceh Tamiang,berjalan jauh ke kampung sebelah,jalan jauh kampung belah,jauh kampung belah,5,4,Dampak Pendidikan & Tempat Tidur,0.3929
Perempuan,8 sampai 11 tahun,Aceh Tamiang,terkena kutu air,kena kutu air,kena kutu air,2,1,Ketakutan & Dampak Banjir,0.8542
Laki laki,8 sampai 11 tahun,Aceh Tamiang,makan pakai indomie,makan pakai indomie,makan pakai indomie,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,8 sampai 11 tahun,Aceh Tamiang,makan pakai garam,makan pakai garam,makan pakai garam,7,6,Kebutuhan Makan & Aktivitas Fisik,0.75
Laki laki,8 sampai 11 tahun,Aceh Tamiang,sedih liat keadaan,sedih liat ada,sedih liat,5,4,Dampak Pendidikan & Tempat Tidur,0.8158
Laki laki,8 sampai 11 tahun,Aceh Tamiang,orang membersihkan rumah,orang bersih rumah,orang bersih rumah,4,3,Kebersihan & Aktivitas Pemulihan,0.6283
Laki laki,8 sampai 11 tahun,Aceh Tamiang,lihat ular,lihat ular,lihat ular,2,1,Ketakutan & Dampak Banjir,0.3929
Laki laki,8 sampai 11 tahun,Aceh Tamiang,lihat buaya,lihat buaya,lihat buaya,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,8 sampai 11 tahun,Aceh Tamiang,suara ular,suara ular,suara ular,6,5,Bencana & Kehilangan Tempat Tinggal,0.75
Laki laki,8 sampai 11 tahun,Aceh Tamiang,dengar kabarberita banjir,dengar kabarberita banjir,dengar kabarberita banjir,2,1,Ketakutan & Dampak Banjir,0.75
Laki laki,8 sampai 11 tahun,Aceh Tamiang,berita orang hanyut,berita orang hanyut,berita orang hanyut,2,1,Ketakutan & Dampak Banjir,0.8793
Laki laki,8 sampai 11 tahun,Aceh Tamiang,suara minta tolong,suara minta,suara minta,3,2,Kerusakan Rumah & Bantuan,0.75
Laki laki,8 sampai 11 tahun,Aceh Tamiang,susah untuk masak ga ada gas dan kayu,susah masak ga gas kayu,susah masak gas kayu,5,4,Dampak Pendidikan & Tempat Tidur,0.8542
Laki laki,8 sampai 11 tahun,Aceh Tamiang,susah air minum,susah air minum,susah air minum,2,1,Ketakutan & Dampak Banjir,0.7072
Laki laki,8 sampai 11 tahun,Aceh Tamiang,pegel angkat barang,gel angkat barang,angkat barang,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8158
Laki laki,8 sampai 11 tahun,Aceh Tamiang,suasana menjadi gaduh karena banjir,suasana jadi gaduh banjir,suasana gaduh banjir,1,0,Kehilangan & Trauma Keluarga,0.3929
Laki laki,8 sampai 11 tahun,Aceh Tamiang,sedih lihat orang lain yang terkena banjir lebih parah,sedih lihat orang yang kena banjir lebih parah,sedih lihat orang kena banjir parah,2,1,Ketakutan & Dampak Banjir,0.9352
Laki laki,8 sampai 11 tahun,Aceh Tamiang,lapar tidak ada makanan setelah banjir,lapar ada makan banjir,lapar makan banjir,7,6,Kebutuhan Makan & Aktivitas Fisik,0.5526
Laki laki,8 sampai 11 tahun,Aceh Tamiang,masuk angin tidak ada penghangat seperti selimut,masuk angin ada hangat selimut,masuk angin hangat selimut,8,7,Keluhan Fisik & Kesehatan,0.8158
Laki laki,8 sampai 11 tahun,Aceh Tamiang,pegel karena berenang,gel renang,renang,3,2,Kerusakan Rumah & Bantuan,0.6111
Laki laki,8 sampai 11 tahun,Aceh Tamiang,pegel angkat barang karena mengungsi,gel angkat barang ungsi,angkat barang ungsi,7,6,Kebutuhan Makan & Aktivitas Fisik,0.8542
Laki laki,8 sampai 11 tahun,Aceh Tamiang,terkena paku,kena paku,kena paku,7,6,Kebutuhan Makan & Aktivitas Fisik,0.75
